codbalance;description1;description2;description3;description4;id;level1;level2;level3;level4;nature;subtype
A-B--IV-4;B) ACTIVO CORRIENTE;;IV. Inversiones en empresas del grupo y asociadas a corto plazo;4. Derivados.;80;B;0;IV;4;A;abbreviated
A-B--IV-5;B) ACTIVO CORRIENTE;;IV. Inversiones en empresas del grupo y asociadas a corto plazo;5. Otros activos financieros.;81;B;0;IV;5;A;normal
A-B--IV-5;B) ACTIVO CORRIENTE;;IV. Inversiones en empresas del grupo y asociadas a corto plazo;5. Otros activos financieros.;82;B;0;IV;5;A;abbreviated
A-B--V-1;B) ACTIVO CORRIENTE;;V. Inversiones financieras a corto plazo.;1. Instrumentos de patrimonio.;83;B;0;V;1;A;normal
A-B--V-1;B) ACTIVO CORRIENTE;;V. Inversiones financieras a corto plazo.;1. Instrumentos de patrimonio.;84;B;0;V;1;A;abbreviated
A-B--V-2;B) ACTIVO CORRIENTE;;V. Inversiones financieras a corto plazo.;2. Créditos a empresas;85;B;0;V;2;A;normal
A-B--V-2;B) ACTIVO CORRIENTE;;V. Inversiones financieras a corto plazo.;2. Créditos a empresas;86;B;0;V;2;A;abbreviated
A-B--V-3;B) ACTIVO CORRIENTE;;V. Inversiones financieras a corto plazo.;3. Valores representativos de deuda.;87;B;0;V;3;A;normal
A-B--V-3;B) ACTIVO CORRIENTE;;V. Inversiones financieras a corto plazo.;3. Valores representativos de deuda.;88;B;0;V;3;A;abbreviated
A-B--V-4;B) ACTIVO CORRIENTE;;V. Inversiones financieras a corto plazo.;4. Derivados.;89;B;0;V;4;A;normal
A-B--V-4;B) ACTIVO CORRIENTE;;V. Inversiones financieras a corto plazo.;4. Derivados.;90;B;0;V;4;A;abbreviated
A-B--V-5;B) ACTIVO CORRIENTE;;V. Inversiones financieras a corto plazo.;5. Otros activos financieros.;91;B;0;V;5;A;normal
A-B--V-5;B) ACTIVO CORRIENTE;;V. Inversiones financieras a corto plazo.;5. Otros activos financieros.;92;B;0;V;5;A;abbreviated
A-B--VI-;B) ACTIVO CORRIENTE;;VI. Periodificaciones a corto plazo.;;93;B;0;VI;;A;normal
A-B--VI-;B) ACTIVO CORRIENTE;;VI. Periodificaciones a corto plazo.;;94;B;0;VI;;A;abbreviated
A-B--VII-1;B) ACTIVO CORRIENTE;;VII. Efectivo y otros activos líquidos equivalentes.;1. Tesorería.;95;B;0;VII;1;A;normal
A-B--VII-1;B) ACTIVO CORRIENTE;;VII. Efectivo y otros activos líquidos equivalentes.;1. Tesorería.;96;B;0;VII;1;A;abbreviated
A-B--VII-2;B) ACTIVO CORRIENTE;;VII. Efectivo y otros activos líquidos equivalentes.;2. Otros activos líquidos equivalentes.;97;B;0;VII;2;A;normal
A-B--VII-2;B) ACTIVO CORRIENTE;;VII. Efectivo y otros activos líquidos equivalentes.;2. Otros activos líquidos equivalentes.;98;B;0;VII;2;A;abbreviated
IG-A--I-1;Ingresos y gastos imputados directamente al patrimonio neto;;I. Por valoración instrumentos financieros.;1. Activos financieros disponibles para la venta.;99;A;0;I;1;IG;normal
IG-A--I-1;Ingresos y gastos imputados directamente al patrimonio neto;;I. Por valoración instrumentos financieros.;1. Activos financieros disponibles para la venta.;100;A;0;I;1;IG;abbreviated
IG-A--I-2;Ingresos y gastos imputados directamente al patrimonio neto;;I. Por valoración instrumentos financieros.;2. Otros ingresos/gastos.;101;A;0;I;2;IG;normal
IG-A--I-2;Ingresos y gastos imputados directamente al patrimonio neto;;I. Por valoración instrumentos financieros.;2. Otros ingresos/gastos.;102;A;0;I;2;IG;abbreviated
IG-A--II-;Ingresos y gastos imputados directamente al patrimonio neto;;II. Por coberturas de flujos de efectivo.;;103;A;0;II;;IG;normal
IG-A--II-;Ingresos y gastos imputados directamente al patrimonio neto;;II. Por coberturas de flujos de efectivo.;;104;A;0;II;;IG;abbreviated
